Key2,﻿Keyno,FullDate,Month,Day,Year,DateDate,Season,Start (ET),Hour,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,NumberOT,Attendance,Notes,MonthW,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Hour Weather Station Code,Hour Data Type,Hour Time Zone,Hour Latitude,Hour Longitude,Hour Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Hour Data Date_1,Hour Data Date_2
CYQG 15/Mar/2014 20,DET41713,3/15/2014,3,15,2014,15-Mar-14,2014,7:30p,20,IND,112,DET,104,1,1,"17,440",,Mar,N,-5,5,O,197,Sat,DET2014,22076,0,25,Detroit,CYQG,CYQG41713,36,41,63,81,13,20,67,15,275,0,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,32,23,19,60,28,350,12,100,280,OVC,15,0,0,0,0,0,0,0,0,0,30.17,1022.4,50,PC,High Overcast,15-Mar-14,20
CYQG 15/Mar/2017 20,DET42809,3/15/2017,3,15,2017,15-Mar-17,2017,7:30p,20,UTA,97,DET,83,0,0,"14,033",,Mar,N,-2.5,2.5,U,199.5,Wed,DET2017,22076,0,28,Detroit,CYQG,CYQG42809,23,32,49,62,17,22,32,14.9,551,0,0,CLR,Mostly Clear,CYQG,O,EST,42.276,-82.956,623,28,17,10,47,23,310,15,70,57,BKN,15,0,0,0,0,0,0,0,0,0,30.16,1022.4,42,MC,Mostly Cloudy,15-Mar-17,20
CYQG 16/Dec/2015 20,DET42354,12/16/2015,12,16,2015,16-Dec-15,2016,7:30p,20,BOS,116,DET,119,0,0,"13,120",,Dec,Y,2.5,-2.5,O,198.5,Wed,DET2016,22076,0,27,Detroit,CYQG,CYQG42354,45,54,88,93,10,17,97,13.6,15,0,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,48,44,45,87,46,180,9,100,37,OVC,12,0,0,0,0,0,0,0,0,0,29.66,1004.8,40,MC,Overcast,16-Dec-15,20
CYQG 16/Jan/2016 20,DET42385,1/16/2016,1,16,2016,16-Jan-16,2016,7:30p,20,GSW,95,DET,113,0,0,"21,584",,Jan,Y,-7,7,U,215.5,Sat,DET2016,22076,0,27,Detroit,CYQG,CYQG42385,32,37,74,100,14,18,93,13.3,84,0,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,30,22,19,64,27,250,10,100,31,OVC,15,0,0,0,0,0,0,0,0,0,29.84,1011.5,8,SHWR,Snow Showers,16-Jan-16,20
CYQG 16/Mar/2016 20,DET42445,3/16/2016,3,16,2016,16-Mar-16,2016,7:30p,20,ATL,118,DET,114,0,0,"14,121",,Mar,N,-1,1,O,199.5,Wed,DET2016,22076,0,27,Detroit,CYQG,CYQG42445,51,61,69,100,22,37,66,12.9,230,0.08,0,MC,Mostly Cloudy,CYQG,O,EST,42.276,-82.956,623,54,48,30,41,43,230,22,5,80,FEW,15,0,0,0,0,0,0,0,0,0,29.74,1007.4,46,CLR,Fair,16-Mar-16,20
CYQG 17/Dec/2014 20,DET41990,12/17/2014,12,17,2014,17-Dec-14,2015,7:30p,20,DAL,117,DET,106,0,0,"12,287",,Dec,N,-7,7,O,204.5,Wed,DET2015,22076,0,26,Detroit,CYQG,CYQG41990,32,37,73,87,18,23,96,14.7,0,0.02,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,30,20,21,69,27,310,13,100,23,OVC,12,0,0,0,0,0,0,99,0.01,0,30.13,1021,9,SNOW,Light Snow,17-Dec-14,20
CYQG 17/Dec/2016 19,DET42721,12/17/2016,12,17,2016,17-Dec-16,2017,7:00p,19,IND,105,DET,90,0,0,"15,231",,Dec,N,4.5,-4.5,U,200.5,Sat,DET2017,22076,0,28,Detroit,CYQG,CYQG42721,26,28,92,100,7,13,100,5.5,0,0.22,3,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,27,20,25,93,26,340,6,100,30,OVC,8,0,0,0,0,0,0,0,0,0,29.7,1006.8,40,MC,Overcast,17-Dec-16,19
CYQG 17/Dec/2017 16,DET43086,12/17/2017,12,17,2017,17-Dec-17,2018,4:00p,16,ORL,110,DET,114,0,0,"16,312",,Dec,N,8.5,-8.5,O,204.5,Sun,DET2018,20332,0,0,Detroit,CYQG,CYQG43086,29,36,89,100,9,15,96,7.4,0,0,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,32,27,30,93,31,50,5,100,11,OVC,5,28,6,34,55,61,79,0,0,0,30.08,1019.7,40,MC,Overcast,17-Dec-17,16
CYQG 17/Jan/2014 20,DET41656,1/17/2014,1,17,2014,17-Jan-14,2014,7:30p,20,UTA,110,DET,89,0,0,"18,528",,Jan,N,7,-7,U,203.5,Fri,DET2014,22076,0,25,Detroit,CYQG,CYQG41656,27,32,82,100,11,17,96,8.9,48,0.12,1.6,SHWR,Snow Showers,CYQG,O,EST,42.276,-82.956,623,27,17,21,80,25,290,10,100,23,OVC,4,0,0,0,0,0,0,0,0,0,29.86,1012,8,SHWR,Snow Showers,17-Jan-14,20
CYQG 17/Jan/2015 20,DET42021,1/17/2015,1,17,2015,17-Jan-15,2015,7:30p,20,PHI,89,DET,107,0,0,"15,496",,Jan,Y,13,-13,O,195,Sat,DET2015,22076,0,26,Detroit,CYQG,CYQG42021,29,39,77,86,16,22,79,11.7,54,0.01,0,PC,High Clouds,CYQG,O,EST,42.276,-82.956,623,39,29,30,70,36,210,21,100,250,OVC,15,0,0,0,0,0,0,0,0,0,29.69,1006.1,50,PC,High Overcast,17-Jan-15,20
