date information,vs,Score,Type,Line,O/U,Team,Game Outcome,Team Score,Opponent Score,Overtime,Spread Outcome,Spread Wins,Spread Losses,line*,O/U Outcome,Over Wins,Under Wins,Game O/U,Total Score,Game Margin,Day of Week,Date,Season,key,attendance
Sunday 12/22/13,Miami,W 19-0,Week 16,"W
                  -1","U
              42",Buffalo,W,19,0,0,W,1,0,-1,U,0,1,42,19,19,Sunday,12/22/13,2013,Week 16Buffalo2013,54305
Sunday 10/28/18,@ Oakland,W 42-28,Week 8,"W
                  -3.5","O
              51",Indianapolis,W,42,28,0,W,1,0,-3.5,O,1,0,51,70,14,Sunday,10/28/18,2018,Week 8Indianapolis2018,54372
Sunday 12/23/12,@ Miami,L 10-24,Week 16,"L
                  5","U
              43.5",Buffalo,L,10,24,0,L,0,1,5,U,0,1,43.5,34,-14,Sunday,12/23/12,2012,Week 16Buffalo2012,54462
Sunday 10/11/15,@ Oakland,W 16-10,Week 5,"W
                  -5","U
              44.5",Denver,W,16,10,0,W,1,0,-5,U,0,1,44.5,26,6,Sunday,10/11/15,2015,Week 5Denver2015,54500
Sunday 12/30/12,N.Y. Jets,W 28-9,Week 17,"W
                  -3.5","U
              40.5",Buffalo,W,28,9,0,W,1,0,-3.5,U,0,1,40.5,37,19,Sunday,12/30/12,2012,Week 17Buffalo2012,54533
Sunday 12/04/16,@ Oakland,L 24-38,Week 13,"L
                  3","O
              48.5",Buffalo,L,24,38,0,L,0,1,3,O,1,0,48.5,62,-14,Sunday,12/4/16,2016,Week 13Buffalo2016,54759
Saturday 12/24/16,@ Oakland,L 25-33,Week 16,"L
                  3.5","O
              52",Indianapolis,L,25,33,0,L,0,1,3.5,O,1,0,52,58,-8,Saturday,12/24/16,2016,Week 16Indianapolis2016,54896
Sunday 01/01/17,@ L.A. Chargers,W 37-27,Week 17,"W
                  -5.5","O
              45",Kansas City,W,37,27,0,W,1,0,-5.5,O,1,0,45,64,10,Sunday,1/1/17,2016,Week 17Kansas City2016,54915
Sunday 01/01/17,@ Cincinnati,L 10-27,Week 17,"L
                  -2.5","U
              40.5",Baltimore,L,10,27,0,L,0,1,-2.5,U,0,1,40.5,37,-17,Sunday,1/1/17,2016,Week 17Baltimore2016,54944
Sunday 12/02/12,@ L.A. Chargers,W 20-13,Week 13,"W
                  -1","U
              46",Cincinnati,W,20,13,0,W,1,0,-1,U,0,1,46,33,7,Sunday,12/2/12,2012,Week 13Cincinnati2012,54980
Sunday 10/08/17,@ Oakland,W 30-17,Week 5,"W
                  3","O
              40.5",Baltimore,W,30,17,0,W,1,0,3,O,1,0,40.5,47,13,Sunday,10/8/17,2017,Week 5Baltimore2017,54980
Sunday 09/25/16,L.A. Rams,L 32-37,Week 3,"L
                  -3.5","O
              40.5",Tampa Bay,L,32,37,0,L,0,1,-3.5,O,1,0,40.5,69,-5,Sunday,9/25/16,2016,Week 3Tampa Bay2016,55009
Sunday 09/10/17,@ Cincinnati,W 20-0,Week 1,"W
                  2.5","U
              41.5",Baltimore,W,20,0,0,W,1,0,2.5,U,0,1,41.5,20,20,Sunday,9/10/17,2017,Week 1Baltimore2017,55254
Sunday 12/31/17,@ Tampa Bay,L 24-31,Week 17,"L
                  -6","O
              49",New Orleans,L,24,31,0,L,0,1,-6,O,1,0,49,55,-7,Sunday,12/31/17,2017,Week 17New Orleans2017,55376
Sunday 12/04/16,Philadelphia,W 32-14,Week 13,"W
                  -2","O
              42",Cincinnati,W,32,14,0,W,1,0,-2,O,1,0,42,46,18,Sunday,12/4/16,2016,Week 13Cincinnati2016,55456
Sunday 11/21/10,@ Cincinnati,W 49-31,Week 11,"W
                  4","O
              41",Buffalo,W,49,31,0,W,1,0,4,O,1,0,41,80,18,Sunday,11/21/10,2010,Week 11Buffalo2010,55654
Sunday 12/19/10,@ L.A. Rams,W 27-13,Week 15,"W
                  3","U
              42.5",Kansas City,W,27,13,0,W,1,0,3,U,0,1,42.5,40,14,Sunday,12/19/10,2010,Week 15Kansas City2010,55669
Sunday 10/26/14,@ Cincinnati,L 24-27,Week 8,"L
                  -2.5","O
              44.5",Baltimore,L,24,27,0,L,0,1,-2.5,O,1,0,44.5,51,-3,Sunday,10/26/14,2014,Week 8Baltimore2014,55711
Thursday 12/11/14,@ L.A. Rams,W 12-6,Week 15,"W
                  6","U
              40.5",Arizona,W,12,6,0,W,1,0,6,U,0,1,40.5,18,6,Thursday,12/11/14,2014,Week 15Arizona2014,55880
