Key,ID,FullDate,Start(ET),Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts, Home Covered,Capacity,New Stadium Season,Years in Stadium,Key,Weather Temperature,Dome,
20071118KCIND,IND2007,11/18/07,1:00,IND,-14.5,KC,23,U,41.5,2007,Week 11,57294,IND,-14.5,14.5,KC,13,10,N,55531,0,23,20071118KCIND,72,DOME,
20071122NYJDAL,DAL2007,11/22/07,4:15,DAL,-14.5,NYJ,37,U,48,2007,Week 12,63315,DAL,-14.5,14.5,NYJ,34,3,Y,65529,0,36,20071122NYJDAL,43,0,
20191027ARINO,NOS2019,10/27/19,,NO,-14.5,ARI,40,O,,2019,Week 8,73064,NO,-14.5,14.5,ARI,31,9,Y,73208,0,44,20191027ARINO,45,0,Week 8NO2019
20081116DETCAR,CAR2008,11/16/08,1:00,CAR,-14,DET,53,O,40,2008,Week 11,73349,CAR,-14,14,DET,31,22,N,73778,0,12,20081116DETCAR,46,0,
20091227DETSF,SFN2009,12/27/09,4:05,SF,-14,DET,26,U,41,2009,Week 16,69732,SF,-14,14,DET,20,6,N,69732,0,38,20091227DETSF,54,0,
20111204LARSF,SFN2011,12/4/11,4:15,SF,-14,LAR,26,U,38.5,2011,Week 13,69732,SF,-14,14,LAR,26,0,Y,69732,0,40,20111204LARSF,56,0,
20151122SFSEA,SEA2015,11/22/15,4:25,SEA,-14,SF,42,O,40,2015,Week 11,68993,SEA,-14,14,SF,29,13,Y,68740,0,13,20151122SFSEA,48,0,
20111023LARDAL,DAL2011,10/23/11,4:15,DAL,-14,LAR,41,U,43,2011,Week 7,80086,DAL,-14,14,LAR,34,7,Y,105000,0,2,20111023LARDAL,72,DOME,
20071223OAKJAX,JAC2007,12/23/07,1:00,JAX,-14,OAK,60,O,40,2007,Week 16,66905,JAX,-14,14,OAK,49,11,Y,67164,0,12,20071223OAKJAX,59,0,
20081228LARATL,ATL2008,12/28/08,1:00,ATL,-14,LAR,58,O,44.5,2008,Week 17,64617,ATL,-14,14,LAR,31,27,N,71228,0,16,20081228LARATL,72,DOME,
20081026KCNYJ,NYJ2008,10/26/08,1:00,NYJ,-14,KC,52,O,41,2008,Week 8,78037,NYJ,-14,14,KC,28,24,N,80242,0,24,20081026KCNYJ,58,0,
20140921OAKNE,NEP2014,9/21/14,1:00,NE,-14,OAK,25,U,47,2014,Week 3,68756,NE,-14,14,OAK,16,9,N,68756,0,12,20140921OAKNE,78,0,
20150927JAXNE,NEP2015,9/27/15,1:00,NE,-14,JAX,68,O,49,2015,Week 3,66829,NE,-14,14,JAX,51,17,Y,65878,0,13,20150927JAXNE,70,0,
20111208CLEPIT,PIT2011,12/8/11,8:25,PIT,-14,CLE,17,U,40,2011,Week 14,60754,PIT,-14,14,CLE,14,3,N,65500,0,10,20111208CLEPIT,31,0,
